model,topic,predicate,arg1,arg2,status_naive,status_improved,detail
Claude Sonnet 3.7,lovecraft,influenced_by,hp_lovecraft,arthur_machen,not_in_wikidata,not_in_wikidata,no claim
Claude Sonnet 3.7,aquinas,influenced_by,catholic_philosophy,thomas_aquinas,not_in_wikidata,not_in_wikidata,no claim
Claude Sonnet 3.7,plato,located_in,academy_of_athens_modern,athens,link_fail,link_fail,entity not linked
Claude Sonnet 3.7,dante,influenced_by,dante_alighieri,virgil,verified,verified,P737 match
Claude Sonnet 3.7,kierkegaard,influenced_by,martin_heidegger,edmund_husserl,verified,verified,P737 match
Claude Sonnet 3.7,woolf,published_in,orlando,interwar_period,unsupported,unsupported,object not a year
Claude Sonnet 3.7,plato,influenced_by,thomas_aquinas,aristotle,not_in_wikidata,not_in_wikidata,relation absent
Claude Sonnet 3.7,dante,born_in,dante_alighieri,florence,not_in_wikidata,not_in_wikidata,place granularity/mismatch
Claude Sonnet 3.7,dante,influenced_by,renaissance_literature,the_divine_comedy,not_in_wikidata,not_in_wikidata,no claim
Claude Sonnet 3.7,lovecraft,created_by,penrose_triangle,lionel_and_roger_penrose,link_fail,link_fail,entity not linked
Claude Sonnet 3.7,shelley,influenced_by,frankenstein_novel,prometheus_mythology,link_fail,link_fail,entity not linked
Claude Sonnet 3.7,lovecraft,influenced_by,hp_lovecraft,gothic_horror,not_in_wikidata,not_in_wikidata,no claim
Claude Sonnet 3.7,civil_war,born_in,jefferson_davis,x1808,verified,contradicted,"claimed 1808, wikidata [1828]"
Claude Sonnet 3.7,civil_war,died_in,robert_e_lee,x1870,verified,not_in_wikidata,no date
Claude Sonnet 3.7,lovecraft,influenced_by,hp_lovecraft,edgar_allan_poe,not_in_wikidata,not_in_wikidata,no claim
Claude Sonnet 3.7,plato,influenced_by,plato,socrates,verified,verified,P737 match
Claude Sonnet 3.7,homer,influenced_by,aeneid,odyssey,not_in_wikidata,not_in_wikidata,no claim
Claude Sonnet 3.7,kierkegaard,influenced_by,søren_kierkegaard,socrates,not_in_wikidata,not_in_wikidata,relation absent
Claude Sonnet 3.7,plato,influenced_by,courtly_love,platonic_love,not_in_wikidata,not_in_wikidata,no claim
Claude Sonnet 3.7,kafka,born_in,franz_kafka,prague,verified,verified,place match
Claude Sonnet 3.7,tolstoy,influenced_by,leo_tolstoy,napoleonic_wars,not_in_wikidata,not_in_wikidata,relation absent
Claude Sonnet 3.7,aquinas,influenced_by,thomas_aquinas,maimonides,verified,not_in_wikidata,relation absent
Claude Sonnet 3.7,dickinson,published_in,leaves_of_grass,x1855,verified,verified,1855 ~ [1855]
Claude Sonnet 3.7,shelley,influenced_by,frankenstein_novel,galvanism,link_fail,link_fail,entity not linked
Claude Sonnet 3.7,plato,influenced_by,the_theory_of_forms,parmenides,link_fail,link_fail,entity not linked
Claude Sonnet 3.7,aquinas,influenced_by,thomas_aquinas,averroes,verified,verified,P737 match
Claude Sonnet 3.7,kant,influenced_by,john_rawls,immanuel_kant,verified,verified,P737 match
Claude Sonnet 3.7,lovecraft,created_by,arkham,hp_lovecraft,not_in_wikidata,not_in_wikidata,relation absent
Claude Sonnet 3.7,tolstoy,written_by,war_and_peace_novel,leo_tolstoy,link_fail,link_fail,entity not linked
Claude Sonnet 3.7,homer,written_by,odyssey,homer,not_in_wikidata,verified,P50 match
Claude Sonnet 3.7,aquinas,influenced_by,jacques_maritain,thomas_aquinas,not_in_wikidata,not_in_wikidata,no claim
Claude Sonnet 3.7,tolstoy,published_in,war_and_peace_novel,x19th_century_literature,link_fail,link_fail,work not linked
Claude Sonnet 3.7,sartre,influenced_by,jeanpaul_sartre,martin_heidegger,link_fail,link_fail,entity not linked
Claude Sonnet 3.7,homer,written_by,aeneid,virgil,verified,verified,P50 match
Claude Sonnet 3.7,homer,written_by,works_and_days,hesiod,verified,verified,P50 match
Claude Sonnet 3.7,lovecraft,published_in,call_of_cthulhu,weird_tales_magazine,unsupported,unsupported,object not a year
Claude Sonnet 3.7,civil_war,born_in,frederick_douglass,x1818,verified,verified,"1818 ~ [1817, 1818, 1818]"
Claude Sonnet 3.7,dickinson,influenced_by,harlem_renaissance,walt_whitman,not_in_wikidata,not_in_wikidata,relation absent
Claude Sonnet 3.7,lovecraft,influenced_by,hp_lovecraft,eugenics_movement,not_in_wikidata,not_in_wikidata,no claim
Claude Sonnet 3.7,hume,influenced_by,david_hume,john_locke,verified,verified,P737 match
Claude Sonnet 3.7,woolf,published_in,three_guineas,interwar_period,unsupported,unsupported,object not a year
Claude Sonnet 3.7,woolf,published_in,to_the_lighthouse,interwar_period,unsupported,unsupported,object not a year
Claude Sonnet 3.7,hume,influenced_by,logical_positivism,david_hume,not_in_wikidata,not_in_wikidata,no claim
Claude Sonnet 3.7,dickinson,published_in,poems_1890,victorian_era,link_fail,link_fail,work not linked
Claude Sonnet 3.7,nietzsche,influenced_by,jacques_derrida,friedrich_nietzsche,verified,verified,P737 match
Claude Sonnet 3.7,plato,influenced_by,plato,pythagoras,not_in_wikidata,not_in_wikidata,relation absent
Claude Sonnet 3.7,lovecraft,written_by,the_dunwich_horror,hp_lovecraft,not_in_wikidata,not_in_wikidata,relation absent
Claude Sonnet 3.7,civil_war,located_in,battle_of_bull_run,virginia,not_in_wikidata,not_in_wikidata,no claim
Claude Sonnet 3.7,dante,written_by,the_divine_comedy,dante_alighieri,verified,verified,P50 match
